"id","name","instanceType","text","uuid:ID"
"TransitionRule_1","ENCOUNTER_START_RULE_1","TransitionRule","Subject identifier","ecd0011f-b123-43af-846a-ad453034218b"
"TransitionRule_2","ENCOUNTER_START_RULE_1","TransitionRule","completion of screening activities","21385254-5fc1-4f6d-bbc8-d51bef2ecac1"
"TransitionRule_3","ENCOUNTER_START_RULE_2","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","1a8e5cfc-dc54-478a-9b5c-d316d8f541a5"
"TransitionRule_4","ENCOUNTER_START_RULE_3","TransitionRule","subject has connection of ambulatory ECG machine removed","7cb8f679-2a5b-4d0f-8e50-c3903082f2ca"
"TransitionRule_5","ENCOUNTER_START_RULE_3","TransitionRule","Radomized","8e59cfcd-c23c-45be-adb7-1af8d801ab89"
"TransitionRule_6","ENCOUNTER_START_RULE_12","TransitionRule","End of treatment","bc1f50fc-5728-4444-9021-d9d5129a6f6a"
"TransitionRule_7","ELEMENT_START_RULE_1","TransitionRule","Informed consent","471f0a50-b956-4acd-8d1a-79fcfe4ffb7a"
"TransitionRule_8","ELEMENT_END_RULE_1","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","b5a6bee3-7e2b-4fc1-a025-38f18f831e2e"
"TransitionRule_9","ELEMENT_START_RULE_2","TransitionRule","Administration of first dose","3010bb79-21c3-4894-b2e0-c0d66d939d9d"
"TransitionRule_14","ELEMENT_START_RULE_7","TransitionRule","End of last scheduled visit on study (including early termination)","32131fdd-aefc-4186-bde8-6a7a080621ad"
"TransitionRule_15","ELEMENT_END_RULE_7","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","c35615e3-0163-4bac-8671-f667de353daf"
"TransitionRule_10","ELEMENT_START_RULE_3","TransitionRule","Administration of first dose","2e711945-d800-4f96-a806-fa1c79937a2c"
"TransitionRule_11","ELEMENT_START_RULE_4","TransitionRule","Randomized","4ea460fe-c1e4-4d48-8404-99c9450992b7"
"TransitionRule_12","ELEMENT_START_RULE_5","TransitionRule","Administration of first dose (from patches supplied at Visit 4)","ad33aee4-1e82-4fb0-b87d-b2dd1f991674"
"TransitionRule_13","ELEMENT_START_RULE_6","TransitionRule","Administration of first dose (from patches supplied at Visit 12)","3632a00a-5944-4b9b-a52f-3efb7b162dba"
